ROI_ID 5
ROI_TYPE MeanCircRoi(center=(91, 91), radius=5, delta_ig=0)
ROI_DESCRIPTION N/A
DATE 2019-11-05
TIME 14:27:24
CAP_FILE testfiles/color_test.mp4
CAP_TITLE testfiles/color_test.mp4
CAP_FPS 15.0

pos_frames,pos_msec,blue_avg,green_avg,red_avg
HEADER_END
629.0,41933.333333333336,193.0,0.0,184.0
630.0,42000.0,193.0,0.0,184.0
631.0,42066.666666666664,193.0,0.0,184.0
632.0,42133.333333333336,193.0,0.0,184.0
633.0,42200.0,193.0,0.0,184.0
634.0,42266.666666666664,193.0,0.0,184.0
635.0,42333.333333333336,193.0,0.0,184.0
636.0,42400.0,193.0,0.0,184.0
637.0,42466.666666666664,193.0,0.0,184.0
638.0,42533.333333333336,193.0,0.0,184.0
639.0,42600.0,193.0,0.0,184.0
640.0,42666.666666666664,193.0,0.0,184.0
641.0,42733.333333333336,193.0,0.0,184.0
642.0,42800.0,193.0,0.0,184.0
643.0,42866.666666666664,193.0,0.0,184.0
644.0,42933.333333333336,193.0,0.0,184.0
645.0,43000.0,193.0,0.0,184.0
646.0,43066.666666666664,193.0,0.0,184.0
647.0,43133.333333333336,244.0,0.0,233.0
648.0,43200.0,244.0,0.0,233.0
649.0,43266.666666666664,244.0,0.0,233.0
650.0,43333.333333333336,244.0,0.0,233.0
651.0,43400.0,244.0,0.0,233.0
652.0,43466.666666666664,244.0,0.0,233.0
653.0,43533.333333333336,244.0,0.0,233.0
654.0,43600.0,244.0,0.0,233.0
655.0,43666.666666666664,244.0,0.0,233.0
656.0,43733.333333333336,244.0,0.0,233.0
657.0,43800.0,244.0,0.0,233.0
658.0,43866.666666666664,244.0,0.0,233.0
659.0,43933.333333333336,244.0,0.0,233.0
660.0,44000.0,244.0,0.0,233.0
661.0,44066.666666666664,244.0,0.0,233.0
662.0,44133.333333333336,244.0,0.0,233.0
663.0,44200.0,244.0,0.0,233.0
664.0,44266.666666666664,244.0,0.0,233.0
665.0,44333.333333333336,244.0,0.0,233.0
666.0,44400.0,244.0,0.0,233.0
667.0,44466.666666666664,244.0,0.0,233.0
668.0,44533.333333333336,244.0,0.0,233.0
669.0,44600.0,244.0,0.0,233.0
670.0,44666.666666666664,244.0,0.0,233.0
671.0,44733.333333333336,244.0,0.0,233.0
672.0,44800.0,244.0,0.0,233.0
673.0,44866.666666666664,244.0,0.0,233.0
674.0,44933.333333333336,244.0,0.0,233.0
675.0,45000.0,244.0,0.0,233.0
676.0,45066.666666666664,244.0,0.0,233.0
677.0,45133.333333333336,244.0,0.0,233.0
678.0,45200.0,244.0,0.0,233.0
679.0,45266.666666666664,244.0,0.0,233.0
680.0,45333.333333333336,244.0,0.0,233.0
681.0,45400.0,244.0,0.0,233.0
682.0,45466.666666666664,244.0,0.0,233.0
