ROI_ID 1
ROI_TYPE MeanRectRoi(vertex1=(277, 56), vertex2=(367, 271), delta_ig=0)
ROI_DESCRIPTION N/A
DATE 2019-11-10
TIME 19:35:41
CAP_FILE testfiles/traffic_light_small.avi
CAP_TITLE testfiles/traffic_light_small.avi
CAP_FPS 25.0

pos_frames,pos_msec,blue_avg,green_avg,red_avg
HEADER_END
163.0,6520.0,49.55530118030118,49.169871794871796,35.881919006919006
164.0,6560.0,49.55530118030118,49.169871794871796,35.881919006919006
165.0,6600.0,49.558811558811556,49.17338217338217,35.88542938542938
166.0,6640.0,49.558811558811556,49.17338217338217,35.88542938542938
167.0,6680.0,49.56639194139194,49.18416768416768,35.87372812372812
168.0,6720.0,49.56639194139194,49.18416768416768,35.87372812372812
169.0,6760.0,49.61396011396011,49.163766788766786,35.873321123321126
170.0,6800.0,49.606023606023605,49.160714285714285,35.86864061864062
171.0,6840.0,49.61065323565324,49.16203703703704,35.87525437525438
172.0,6880.0,49.61065323565324,49.16203703703704,35.87525437525438
173.0,6920.0,49.61457061457062,49.16595441595442,35.87896825396825
174.0,6960.0,49.61457061457062,49.16595441595442,35.87896825396825
175.0,7000.0,49.61457061457062,49.16595441595442,35.87896825396825
176.0,7040.0,49.588115588115585,49.171652421652425,35.879375254375255
177.0,7080.0,49.588115588115585,49.171652421652425,35.879375254375255
178.0,7120.0,49.58770858770859,49.17124542124542,35.87896825396825
179.0,7160.0,49.592185592185594,49.17572242572243,35.883445258445256
180.0,7200.0,49.592185592185594,49.17572242572243,35.883445258445256
181.0,7240.0,49.59233821733822,49.18370980870981,35.86441798941799
182.0,7280.0,49.59167684167684,49.18630443630444,35.86457061457062
183.0,7320.0,49.588013838013836,49.18264143264143,35.86090761090761
184.0,7360.0,49.59126984126984,49.18589743589744,35.864163614163616
185.0,7400.0,49.591066341066345,49.18365893365893,35.868589743589745
186.0,7440.0,49.58348595848596,49.17969067969068,35.86100936100936
187.0,7480.0,49.588878713878714,49.185083435083435,35.866402116402114
188.0,7520.0,49.60912698412698,49.206145706145705,35.88746438746439
189.0,7560.0,49.58959096459096,49.186609686609685,35.86752136752137
190.0,7600.0,49.59223646723647,49.18986568986569,35.881155881155884
191.0,7640.0,49.60637973137973,49.181776556776555,35.87693325193325
192.0,7680.0,49.59442409442409,49.173280423280424,35.864163614163616
193.0,7720.0,49.5776862026862,49.14163614163614,35.85643060643061
194.0,7760.0,49.561202686202684,49.14265364265364,35.837098087098084
195.0,7800.0,49.55647130647131,49.13792226292226,35.836233211233214
196.0,7840.0,49.56573056573057,49.14718152218152,35.845492470492474
197.0,7880.0,49.563899063899065,49.14392551892552,35.841422466422465
198.0,7920.0,49.55759055759056,49.13980463980464,35.83526658526659
199.0,7960.0,49.55769230769231,49.13975376475376,35.83536833536834
200.0,8000.0,49.58297720797721,49.13405575905576,35.83501221001221
201.0,8040.0,49.58338420838421,49.13446275946276,35.83541921041921
202.0,8080.0,49.57127594627595,49.130901505901505,35.82473544973545
203.0,8120.0,49.58089133089133,49.133190883190885,35.831908831908834
204.0,8160.0,49.57753357753358,49.12983312983313,35.82855107855108
205.0,8200.0,49.636243386243386,49.123270248270245,35.828601953601954
206.0,8240.0,49.61604599104599,49.124440374440375,35.79192104192104
207.0,8280.0,49.61192511192511,49.123524623524624,35.788410663410666
208.0,8320.0,49.60851648351648,49.120115995115995,35.78500203500204
209.0,8360.0,49.623371998372,49.123168498168496,35.80494505494506
210.0,8400.0,49.62006512006512,49.12098087098087,35.80214692714693
211.0,8440.0,49.6199124949125,49.12082824582824,35.8019943019943
212.0,8480.0,49.59305046805047,49.12449124949125,35.815018315018314
213.0,8520.0,49.59620472120472,49.1276455026455,35.81980056980057
214.0,8560.0,49.60266585266585,49.13410663410664,35.8262617012617
215.0,8600.0,49.60409035409035,49.13553113553114,35.8276862026862
216.0,8640.0,49.607804232804234,49.13924501424501,35.83140008140008
217.0,8680.0,49.62815425315425,49.142195767195766,35.84009971509972
218.0,8720.0,49.58526658526659,49.14911477411477,35.827889702889706
219.0,8760.0,49.60841473341473,49.160612535612536,35.84986772486773
220.0,8800.0,49.60464997964998,49.16977004477005,35.82677045177045
221.0,8840.0,49.59823972323972,49.15359177859178,35.827991452991455
222.0,8880.0,49.631512006512004,49.15659340659341,35.834198209198206
223.0,8920.0,49.63079975579976,49.15583028083028,35.83348595848596
224.0,8960.0,49.63731176231176,49.1510989010989,35.85429385429386
225.0,9000.0,49.63288563288563,49.1468253968254,35.8501221001221
226.0,9040.0,49.631664631664634,49.14631664631665,35.84798534798535
227.0,9080.0,49.62968050468051,49.13782051282051,35.86879324379324
228.0,9120.0,49.61869149369149,49.13034188034188,35.85851648351648
229.0,9160.0,49.645502645502646,49.14514652014652,35.86451973951974
230.0,9200.0,49.58689458689459,49.13517501017501,35.83541921041921
231.0,9240.0,49.58201058201058,49.12942612942613,35.83297720797721
232.0,9280.0,49.586080586080584,49.13349613349613,35.83704721204721
233.0,9320.0,49.613502238502235,49.12530525030525,35.83353683353683
234.0,9360.0,49.61599511599512,49.12779812779813,35.83602971102971
235.0,9400.0,49.61599511599512,49.12779812779813,35.83602971102971
236.0,9440.0,49.64021164021164,49.12408424908425,35.835215710215714
237.0,9480.0,49.64260276760277,49.12464387464387,35.83638583638584
238.0,9520.0,49.65659340659341,49.138634513634514,35.85037647537648
239.0,9560.0,49.657051282051285,49.142348392348396,35.84757834757835
240.0,9600.0,49.651709401709404,49.13695563695563,35.84223646723647
241.0,9640.0,49.66941391941392,49.13425925925926,35.877085877085875
242.0,9680.0,49.65669515669516,49.1256105006105,35.87698412698413
243.0,9720.0,49.67704517704518,49.13944851444852,35.90160765160765
244.0,9760.0,49.67012617012617,49.13395400895401,35.88715913715914
245.0,9800.0,49.67979242979243,49.13680301180301,35.905270655270655
246.0,9840.0,49.66941391941392,49.132580382580386,35.89570614570614
247.0,9880.0,49.67668905168905,49.13400488400488,35.90216727716728
248.0,9920.0,49.67282254782255,49.13013838013838,35.898300773300775
249.0,9960.0,49.664529914529915,49.12184574684575,35.89000814000814
250.0,10000.0,49.66076516076516,49.118080993080994,35.886243386243386
251.0,10040.0,49.658068783068785,49.11233211233211,35.881512006512004
252.0,10080.0,49.658068783068785,49.11233211233211,35.881512006512004
253.0,10120.0,49.64423076923077,49.107651607651604,35.86334961334961
254.0,10160.0,49.60978835978836,49.09478021978022,35.828500203500205
255.0,10200.0,49.61792836792837,49.09722222222222,35.83358770858771
256.0,10240.0,49.609076109076106,49.09406796906797,35.82514245014245
257.0,10280.0,49.713013838013836,49.125,35.837657712657716
258.0,10320.0,49.748321123321126,49.05530118030118,35.7962962962963
259.0,10360.0,49.79044566544567,49.0995115995116,35.81888481888482
260.0,10400.0,49.778744403744405,49.13059625559625,35.81176231176231
261.0,10440.0,49.74013024013024,49.15613553113553,35.8044363044363
262.0,10480.0,49.753764753764756,49.13548026048026,35.841829466829466
263.0,10520.0,49.78057590557591,49.17602767602768,35.81410256410256
264.0,10560.0,49.77299552299552,49.11670736670737,35.83536833536834
265.0,10600.0,49.80972730972731,49.184472934472936,35.88899063899064
266.0,10640.0,49.818833943833944,49.194749694749696,35.89962352462352
267.0,10680.0,49.769586894586894,49.200447700447704,35.89189051689052
268.0,10720.0,49.75696988196988,49.219474969474966,35.93264143264143
269.0,10760.0,49.76541514041514,49.22842897842898,35.9253663003663
270.0,10800.0,49.786731786731785,49.209706959706956,35.92160154660154
271.0,10840.0,49.79405779405779,49.18284493284493,35.92897842897843
272.0,10880.0,49.76811151811152,49.231277981277984,35.95914733414733
273.0,10920.0,49.77172364672364,49.235449735449734,35.93513431013431
274.0,10960.0,49.751221001221005,49.23621286121286,35.91076516076516
275.0,11000.0,49.77146927146927,49.22827635327636,35.90623728123728
276.0,11040.0,49.7793549043549,49.19149369149369,35.909188034188034
277.0,11080.0,49.678622303622305,49.21626984126984,35.80738705738706
278.0,11120.0,49.75025437525438,49.22751322751323,35.83740333740334
279.0,11160.0,49.785103785103786,49.243844118844116,35.84589947089947
280.0,11200.0,49.74928774928775,49.27045177045177,35.817053317053315
281.0,11240.0,49.783577533577535,49.254884004884005,35.85775335775336
282.0,11280.0,49.77513227513227,49.25279812779813,35.848290598290596
283.0,11320.0,49.7977207977208,49.23794261294261,35.8450345950346
284.0,11360.0,49.78311965811966,49.23402523402523,35.840811965811966
285.0,11400.0,49.78311965811966,49.23402523402523,35.840811965811966
286.0,11440.0,49.786833536833534,49.23758648758649,35.84457671957672
287.0,11480.0,49.783170533170534,49.23499185999186,35.841829466829466
288.0,11520.0,49.783170533170534,49.23499185999186,35.841829466829466
289.0,11560.0,49.82590557590557,49.27686202686203,35.84121896621897
290.0,11600.0,49.81257631257631,49.27665852665853,35.81547619047619
291.0,11640.0,49.82168294668295,49.279761904761905,35.82865282865283
292.0,11680.0,49.8256512006512,49.28373015873016,35.83262108262108
293.0,11720.0,49.8256512006512,49.28373015873016,35.83262108262108
294.0,11760.0,49.8256512006512,49.28373015873016,35.83262108262108
295.0,11800.0,49.82738095238095,49.279761904761905,35.844118844118846
296.0,11840.0,49.822039072039075,49.27625152625153,35.83999796499796
297.0,11880.0,49.822039072039075,49.27625152625153,35.83999796499796
298.0,11920.0,49.81863044363045,49.27319902319903,35.83653846153846
299.0,11960.0,49.81486568986569,49.26928164428164,35.83277370777371
300.0,12000.0,49.81125356125356,49.265669515669515,35.82916157916158
301.0,12040.0,49.84488196988197,49.257020757020754,35.82615995115995
302.0,12080.0,49.8262617012617,49.24928774928775,35.80408017908018
303.0,12120.0,49.84274521774522,49.254273504273506,35.823412698412696
304.0,12160.0,49.843203093203094,49.25473137973138,35.82387057387057
305.0,12200.0,49.82641432641432,49.269078144078144,35.83272283272283
306.0,12240.0,49.82641432641432,49.269078144078144,35.83272283272283
307.0,12280.0,49.8024013024013,49.28042328042328,35.83257020757021
308.0,12320.0,49.797161172161175,49.27660765160765,35.82743182743183
309.0,12360.0,49.797161172161175,49.27660765160765,35.82743182743183
310.0,12400.0,49.797161172161175,49.279863654863654,35.82743182743183
311.0,12440.0,49.80458892958893,49.28729141229141,35.834859584859586
312.0,12480.0,49.80458892958893,49.28729141229141,35.834859584859586
313.0,12520.0,49.76699226699227,49.30530118030118,35.87143874643875
314.0,12560.0,49.76226088726089,49.30402930402931,35.86202686202686
315.0,12600.0,49.76953601953602,49.30601343101343,35.8723544973545
316.0,12640.0,49.76190476190476,49.29721204721205,35.86538461538461
317.0,12680.0,49.732041107041105,49.2991452991453,35.86100936100936
318.0,12720.0,49.73209198209198,49.299043549043546,35.86106023606023
319.0,12760.0,49.74150386650387,49.30418192918193,35.86660561660562
320.0,12800.0,49.73845136345136,49.299043549043546,35.864163614163616
321.0,12840.0,49.738654863654865,49.299043549043546,35.86451973951974
322.0,12880.0,49.73946886446886,49.299043549043546,35.86451973951974
323.0,12920.0,49.750966625966626,49.30128205128205,35.873371998372
324.0,12960.0,49.75086487586488,49.3011803011803,35.873270248270245
325.0,13000.0,49.71194546194546,49.28861416361416,35.84834147334147
326.0,13040.0,49.694088319088316,49.273809523809526,35.83251933251933
327.0,13080.0,49.70136345136345,49.27579365079365,35.84284696784697
328.0,13120.0,49.72975172975173,49.27299552299552,35.842948717948715
329.0,13160.0,49.7295991045991,49.27294464794465,35.84279609279609
330.0,13200.0,49.7295991045991,49.27294464794465,35.84279609279609
331.0,13240.0,49.72644485144485,49.270095645095644,35.83903133903134
332.0,13280.0,49.728988603988604,49.27136752136752,35.84035409035409
333.0,13320.0,49.72522385022385,49.26760276760277,35.836589336589334
334.0,13360.0,49.718457468457466,49.260836385836384,35.82982295482295
335.0,13400.0,49.711741961741964,49.254273504273506,35.82310744810745
336.0,13440.0,49.711741961741964,49.254273504273506,35.82310744810745
337.0,13480.0,49.740282865282865,49.25681725681726,35.83058608058608
338.0,13520.0,49.71881359381359,49.24114774114774,35.7952787952788
339.0,13560.0,49.722883597883595,49.23840048840049,35.8048433048433
340.0,13600.0,49.71764346764347,49.23316035816036,35.79960317460318
341.0,13640.0,49.71723646723647,49.23275335775336,35.799196174196176
342.0,13680.0,49.71927146927147,49.234839234839235,35.77966015466016
343.0,13720.0,49.71189458689459,49.25778388278388,35.75946275946276
344.0,13760.0,49.71525234025234,49.261243386243386,35.763532763532766
345.0,13800.0,46.36441798941799,48.370879120879124,32.7271571021571
346.0,13840.0,44.088268213268215,47.2693833943834,32.185083435083435
347.0,13880.0,42.80072242572243,47.32880545380545,41.24659137159137
348.0,13920.0,40.91559829059829,48.1941391941392,46.3486975986976
349.0,13960.0,39.11981074481074,47.3282967032967,47.42185592185592
350.0,14000.0,38.07926332926333,46.42205942205942,46.99165649165649
351.0,14040.0,37.68284493284493,45.4035409035409,47.012362637362635
352.0,14080.0,37.308048433048434,44.729242979242976,47.17160154660154
353.0,14120.0,37.41585266585267,44.224053724053725,47.136497761497765
354.0,14160.0,37.28184778184778,43.86228123728124,47.250407000407
355.0,14200.0,37.25529100529101,43.500457875457876,47.38975376475376
